published_result,published_phase,published_paradigm,source_kind,coverage_note,model,task,task family,success,token consumption,source_run,run_id,round_id,attempt_index,verify_status,input_tokens,output_tokens,worker_id,ledger_path
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,psf__requests-2317,psf/requests,false,23660,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_003_psf__requests-2317,1,1,INFRA,23267,393,gemini-3-pro-preview,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_003_psf__requests-2317/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5-mini-2025-08-07,psf__requests-2317,psf/requests,false,20011,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_003_psf__requests-2317,3,2,FAIL,19288,723,gpt-5-mini,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_003_psf__requests-2317/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5-mini-2025-08-07,pylint-dev__pylint-7080,pylint-dev/pylint,false,27417,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_008_pylint-dev__pylint-7080,1,1,FAIL,24420,2997,gpt-5-mini,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_008_pylint-dev__pylint-7080/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,pylint-dev__pylint-7080,pylint-dev/pylint,true,31685,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_008_pylint-dev__pylint-7080,3,2,PASS,30962,723,gemini-3-pro-preview,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_008_pylint-dev__pylint-7080/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5-mini-2025-08-07,scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,false,31721,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_004_scikit-learn__scikit-learn-25747,1,1,INFRA,29172,2549,gpt-5-mini,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_004_scikit-learn__scikit-learn-25747/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,false,35747,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_004_scikit-learn__scikit-learn-25747,3,2,FAIL,35026,721,gemini-3-pro-preview,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_004_scikit-learn__scikit-learn-25747/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,sympy__sympy-17630,sympy/sympy,false,27340,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_010_sympy__sympy-17630,1,1,FAIL,26457,883,gemini-3-pro-preview,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_010_sympy__sympy-17630/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5.2-2025-12-11,sympy__sympy-17630,sympy/sympy,false,24427,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_010_sympy__sympy-17630,3,2,INFRA,23226,1201,gpt-5.2,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_010_sympy__sympy-17630/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,django__django-11133,django/django,true,17250,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_004_django__django-11133,1,1,PASS,16979,271,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_004_django__django-11133/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5.2-2025-12-11,django__django-11179,django/django,true,10289,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_009_django__django-11179,1,1,PASS,9735,554,gpt-5.2,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_009_django__django-11179/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,django__django-11815,django/django,true,15232,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_013_django__django-11815,1,1,PASS,14834,398,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_013_django__django-11815/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5-mini-2025-08-07,django__django-11999,django/django,false,24999,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_016_django__django-11999,1,1,FAIL,23834,1165,gpt-5-mini,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_016_django__django-11999/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5.2-pro-2025-12-11,django__django-11999,django/django,false,27189,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_016_django__django-11999,3,2,FAIL,24130,3059,gpt-5.2-pro,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_016_django__django-11999/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,django__django-12125,django/django,false,15732,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_019_django__django-12125,1,1,FAIL,15004,728,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_019_django__django-12125/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5-mini-2025-08-07,django__django-12125,django/django,false,14589,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_019_django__django-12125,3,2,FAIL,12599,1990,gpt-5-mini,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_019_django__django-12125/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5.2-2025-12-11,django__django-12708,django/django,false,50022,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_020_django__django-12708,1,1,INFRA,48661,1361,gpt-5.2,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_020_django__django-12708/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,django__django-12708,django/django,false,62549,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_020_django__django-12708,3,2,FAIL,61562,987,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_020_django__django-12708/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,matplotlib__matplotlib-24970,matplotlib/matplotlib,false,211963,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_005_matplotlib__matplotlib-24970,1,1,FAIL,205966,5997,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_005_matplotlib__matplotlib-24970/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5.2-pro-2025-12-11,matplotlib__matplotlib-24970,matplotlib/matplotlib,true,143662,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_005_matplotlib__matplotlib-24970,3,2,PASS,141308,2354,gpt-5.2-pro,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_005_matplotlib__matplotlib-24970/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,matplotlib__matplotlib-25311,matplotlib/matplotlib,false,175128,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_010_matplotlib__matplotlib-25311,1,1,FAIL,175128,0,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_010_matplotlib__matplotlib-25311/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5-mini-2025-08-07,matplotlib__matplotlib-25311,matplotlib/matplotlib,false,116144,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_010_matplotlib__matplotlib-25311,3,2,INFRA,114235,1909,gpt-5-mini,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_010_matplotlib__matplotlib-25311/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,matplotlib__matplotlib-25332,matplotlib/matplotlib,false,194226,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_014_matplotlib__matplotlib-25332,1,1,FAIL,185058,9168,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_014_matplotlib__matplotlib-25332/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5-mini-2025-08-07,matplotlib__matplotlib-25332,matplotlib/matplotlib,false,122920,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_014_matplotlib__matplotlib-25332,3,2,FAIL,120515,2405,gpt-5-mini,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_014_matplotlib__matplotlib-25332/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,pytest-dev__pytest-7432,pytest-dev/pytest,false,17348,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_001_pytest-dev__pytest-7432,1,1,FAIL,16764,584,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_001_pytest-dev__pytest-7432/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,anthropic:claude-opus-4-5-20251101,pytest-dev__pytest-7432,pytest-dev/pytest,true,19750,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_001_pytest-dev__pytest-7432,3,2,PASS,18218,1532,claude-opus-4-5,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_001_pytest-dev__pytest-7432/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,true,45731,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_006_scikit-learn__scikit-learn-13142,1,1,PASS,44649,1082,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_006_scikit-learn__scikit-learn-13142/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5-mini-2025-08-07,scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,false,42805,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_011_scikit-learn__scikit-learn-13439,1,1,INFRA,42295,510,gpt-5-mini,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_011_scikit-learn__scikit-learn-13439/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,true,50596,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_011_scikit-learn__scikit-learn-13439,3,2,PASS,49955,641,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_011_scikit-learn__scikit-learn-13439/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,true,80544,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_017_scikit-learn__scikit-learn-13496,1,1,PASS,79603,941,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_017_scikit-learn__scikit-learn-13496/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,sphinx-doc__sphinx-8721,sphinx-doc/sphinx,true,9352,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_007_sphinx-doc__sphinx-8721,1,1,PASS,8755,597,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_007_sphinx-doc__sphinx-8721/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5-mini-2025-08-07,sympy__sympy-12481,sympy/sympy,false,36604,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_002_sympy__sympy-12481,1,1,FAIL,31932,4672,gpt-5-mini,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_002_sympy__sympy-12481/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,sympy__sympy-12481,sympy/sympy,true,36488,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_002_sympy__sympy-12481,3,2,PASS,35639,849,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_002_sympy__sympy-12481/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,sympy__sympy-13031,sympy/sympy,false,26867,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_003_sympy__sympy-13031,1,1,FAIL,25019,1848,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_003_sympy__sympy-13031/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,anthropic:claude-opus-4-5-20251101,sympy__sympy-13031,sympy/sympy,false,28222,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_003_sympy__sympy-13031,3,2,FAIL,26696,1526,claude-opus-4-5,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_003_sympy__sympy-13031/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,sympy__sympy-13480,sympy/sympy,true,30213,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_008_sympy__sympy-13480,1,1,PASS,29775,438,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_008_sympy__sympy-13480/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,sympy__sympy-13647,sympy/sympy,false,44331,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_012_sympy__sympy-13647,1,1,FAIL,43533,798,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_012_sympy__sympy-13647/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5-mini-2025-08-07,sympy__sympy-13647,sympy/sympy,true,42070,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_012_sympy__sympy-13647,3,2,PASS,39411,2659,gpt-5-mini,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_012_sympy__sympy-13647/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,sympy__sympy-15345,sympy/sympy,true,8485,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_015_sympy__sympy-15345,1,1,PASS,7553,932,gemini-3-pro-preview,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_015_sympy__sympy-15345/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5.2-2025-12-11,sympy__sympy-16792,sympy/sympy,false,39752,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_018_sympy__sympy-16792,1,1,FAIL,38880,872,gpt-5.2,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_018_sympy__sympy-16792/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,anthropic:claude-opus-4-5-20251101,sympy__sympy-16792,sympy/sympy,true,48986,next20_contiguous_market_20260219T183750Z,swebench_market_direct_penalty_018_sympy__sympy-16792,3,2,PASS,48353,633,claude-opus-4-5,runs/research/phase2/next20_contiguous_market_20260219T183750Z/swebench_market_direct_penalty_018_sympy__sympy-16792/ledger.jsonl
