model,task,task family,success,token consumption,source_run,run_id,round_id,attempt_index,verify_status,input_tokens,output_tokens,worker_id,ledger_path
openai:gpt-5.2-2025-12-11,django__django-11179,django/django,true,2969687,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_039_django__django-11179,1,1,PASS,2942933,26754,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_039_django__django-11179/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-11815,django/django,true,6183190,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_043_django__django-11815,1,1,PASS,6138988,44202,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_043_django__django-11815/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-11848,django/django,true,3379674,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_011_django__django-11848,1,1,PASS,3337153,42521,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_011_django__django-11848/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-11964,django/django,true,7019226,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_005_django__django-11964,1,1,PASS,6968822,50404,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_005_django__django-11964/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-11999,django/django,true,11067310,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_046_django__django-11999,1,1,PASS,11016867,50443,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_046_django__django-11999/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-12125,django/django,true,7349774,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_049_django__django-12125,1,1,PASS,7306802,42972,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_049_django__django-12125/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-12308,django/django,false,6308371,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_007_django__django-12308,1,1,FAIL,6270351,38020,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_007_django__django-12308/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-12308,django/django,false,3535112,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_007_django__django-12308,3,2,FAIL,3503373,31739,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_007_django__django-12308/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-12708,django/django,true,7317092,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_050_django__django-12708,1,1,PASS,7274605,42487,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_050_django__django-12708/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-14155,django/django,false,6969637,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_009_django__django-14155,1,1,FAIL,6920864,48773,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_009_django__django-14155/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-14155,django/django,false,3995367,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_009_django__django-14155,3,2,FAIL,3949624,45743,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_009_django__django-14155/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-14534,django/django,false,6900158,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_024_django__django-14534,1,1,FAIL,6853110,47048,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_024_django__django-14534/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-14534,django/django,false,4303692,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_024_django__django-14534,3,2,FAIL,4255822,47870,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_024_django__django-14534/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-15252,django/django,true,10856038,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_025_django__django-15252,1,1,PASS,10783726,72312,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_025_django__django-15252/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-15695,django/django,false,5612125,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_026_django__django-15695,1,1,FAIL,5567372,44753,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_026_django__django-15695/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-15695,django/django,false,9117901,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_026_django__django-15695,3,2,FAIL,9059394,58507,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_026_django__django-15695/ledger.jsonl
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,6271220,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_002_matplotlib__matplotlib-23299,1,1,INFRA,6225685,45535,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_002_matplotlib__matplotlib-23299/ledger.jsonl
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,11718062,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_002_matplotlib__matplotlib-23299,3,2,FAIL,11654235,63827,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_002_matplotlib__matplotlib-23299/ledger.jsonl
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23314,matplotlib/matplotlib,false,3873270,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_016_matplotlib__matplotlib-23314,1,1,INFRA,3831528,41742,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_016_matplotlib__matplotlib-23314/ledger.jsonl
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23314,matplotlib/matplotlib,false,3333950,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_016_matplotlib__matplotlib-23314,3,2,INFRA,3306596,27354,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_016_matplotlib__matplotlib-23314/ledger.jsonl
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,7319961,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_006_matplotlib__matplotlib-23476,1,1,INFRA,7262937,57024,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_006_matplotlib__matplotlib-23476/ledger.jsonl
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,5237025,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_006_matplotlib__matplotlib-23476,3,2,INFRA,5194575,42450,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_006_matplotlib__matplotlib-23476/ledger.jsonl
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-24149,matplotlib/matplotlib,true,5896645,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_023_matplotlib__matplotlib-24149,1,1,PASS,5850124,46521,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_023_matplotlib__matplotlib-24149/ledger.jsonl
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-24970,matplotlib/matplotlib,false,0,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_035_matplotlib__matplotlib-24970,1,1,FAIL,0,0,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_035_matplotlib__matplotlib-24970/ledger.jsonl
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-24970,matplotlib/matplotlib,false,4410398,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_035_matplotlib__matplotlib-24970,3,2,FAIL,4369005,41393,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_035_matplotlib__matplotlib-24970/ledger.jsonl
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-25311,matplotlib/matplotlib,false,0,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_040_matplotlib__matplotlib-25311,1,1,FAIL,0,0,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_040_matplotlib__matplotlib-25311/ledger.jsonl
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-25311,matplotlib/matplotlib,false,0,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_040_matplotlib__matplotlib-25311,3,2,FAIL,0,0,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_040_matplotlib__matplotlib-25311/ledger.jsonl
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-25332,matplotlib/matplotlib,false,4429946,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_044_matplotlib__matplotlib-25332,1,1,FAIL,4384674,45272,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_044_matplotlib__matplotlib-25332/ledger.jsonl
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-25332,matplotlib/matplotlib,false,7127325,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_044_matplotlib__matplotlib-25332,3,2,FAIL,7085991,41334,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_044_matplotlib__matplotlib-25332/ledger.jsonl
openai:gpt-5.2-2025-12-11,psf__requests-2317,psf/requests,true,2417802,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_003_psf__requests-2317,1,1,PASS,2394077,23725,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_003_psf__requests-2317/ledger.jsonl
openai:gpt-5.2-2025-12-11,pydata__xarray-4094,pydata/xarray,true,5876320,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_017_pydata__xarray-4094,1,1,PASS,5825147,51173,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_017_pydata__xarray-4094/ledger.jsonl
openai:gpt-5.2-2025-12-11,pylint-dev__pylint-7080,pylint-dev/pylint,true,7685106,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_008_pylint-dev__pylint-7080,1,1,PASS,7639955,45151,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_008_pylint-dev__pylint-7080/ledger.jsonl
openai:gpt-5.2-2025-12-11,pytest-dev__pytest-7432,pytest-dev/pytest,true,3616044,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_031_pytest-dev__pytest-7432,1,1,PASS,3584226,31818,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_031_pytest-dev__pytest-7432/ledger.jsonl
openai:gpt-5.2-2025-12-11,pytest-dev__pytest-7490,pytest-dev/pytest,false,3090746,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_013_pytest-dev__pytest-7490,1,1,FAIL,3059284,31462,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_013_pytest-dev__pytest-7490/ledger.jsonl
openai:gpt-5.2-2025-12-11,pytest-dev__pytest-7490,pytest-dev/pytest,false,7815143,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_013_pytest-dev__pytest-7490,3,2,FAIL,7754357,60786,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_013_pytest-dev__pytest-7490/ledger.jsonl
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,true,3612030,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_018_scikit-learn__scikit-learn-10297,1,1,PASS,3579908,32122,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_018_scikit-learn__scikit-learn-10297/ledger.jsonl
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,true,7483515,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_036_scikit-learn__scikit-learn-13142,1,1,PASS,7433582,49933,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_036_scikit-learn__scikit-learn-13142/ledger.jsonl
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,true,2869292,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_041_scikit-learn__scikit-learn-13439,1,1,PASS,2846040,23252,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_041_scikit-learn__scikit-learn-13439/ledger.jsonl
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,true,7687579,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_047_scikit-learn__scikit-learn-13496,1,1,PASS,7646638,40941,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_047_scikit-learn__scikit-learn-13496/ledger.jsonl
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,false,5030477,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_004_scikit-learn__scikit-learn-25747,1,1,FAIL,4984005,46472,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_004_scikit-learn__scikit-learn-25747/ledger.jsonl
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,false,4035835,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_004_scikit-learn__scikit-learn-25747,3,2,FAIL,3996776,39059,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_004_scikit-learn__scikit-learn-25747/ledger.jsonl
openai:gpt-5.2-2025-12-11,sphinx-doc__sphinx-11445,sphinx-doc/sphinx,true,2075749,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_019_sphinx-doc__sphinx-11445,1,1,PASS,2046908,28841,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_019_sphinx-doc__sphinx-11445/ledger.jsonl
openai:gpt-5.2-2025-12-11,sphinx-doc__sphinx-8721,sphinx-doc/sphinx,true,4700641,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_037_sphinx-doc__sphinx-8721,1,1,PASS,4663244,37397,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_037_sphinx-doc__sphinx-8721/ledger.jsonl
openai:gpt-5.2-2025-12-11,sympy__sympy-12419,sympy/sympy,true,5959371,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_020_sympy__sympy-12419,1,1,PASS,5911209,48162,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_020_sympy__sympy-12419/ledger.jsonl
openai:gpt-5.2-2025-12-11,sympy__sympy-12481,sympy/sympy,true,4074135,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_032_sympy__sympy-12481,1,1,PASS,4035303,38832,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_032_sympy__sympy-12481/ledger.jsonl
openai:gpt-5.2-2025-12-11,sympy__sympy-13031,sympy/sympy,true,2854618,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_033_sympy__sympy-13031,1,1,PASS,2829888,24730,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_033_sympy__sympy-13031/ledger.jsonl
openai:gpt-5.2-2025-12-11,sympy__sympy-13480,sympy/sympy,true,3641945,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_038_sympy__sympy-13480,1,1,PASS,3613807,28138,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_038_sympy__sympy-13480/ledger.jsonl
openai:gpt-5.2-2025-12-11,sympy__sympy-13647,sympy/sympy,true,4505282,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_042_sympy__sympy-13647,1,1,PASS,4475600,29682,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_042_sympy__sympy-13647/ledger.jsonl
openai:gpt-5.2-2025-12-11,sympy__sympy-15345,sympy/sympy,true,6868821,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_045_sympy__sympy-15345,1,1,PASS,6828945,39876,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_045_sympy__sympy-15345/ledger.jsonl
openai:gpt-5.2-2025-12-11,sympy__sympy-16792,sympy/sympy,true,3456210,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_048_sympy__sympy-16792,1,1,PASS,3431203,25007,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_048_sympy__sympy-16792/ledger.jsonl
openai:gpt-5.2-2025-12-11,sympy__sympy-17630,sympy/sympy,false,4603250,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_010_sympy__sympy-17630,1,1,FAIL,4561410,41840,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_010_sympy__sympy-17630/ledger.jsonl
openai:gpt-5.2-2025-12-11,sympy__sympy-17630,sympy/sympy,false,3793666,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_010_sympy__sympy-17630,3,2,FAIL,3758404,35262,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_010_sympy__sympy-17630/ledger.jsonl
openai:gpt-5.2-2025-12-11,sympy__sympy-18199,sympy/sympy,false,2003024,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_027_sympy__sympy-18199,1,1,FAIL,1980529,22495,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_027_sympy__sympy-18199/ledger.jsonl
openai:gpt-5.2-2025-12-11,sympy__sympy-18199,sympy/sympy,false,2110571,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_027_sympy__sympy-18199,3,2,FAIL,2086748,23823,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_027_sympy__sympy-18199/ledger.jsonl
openai:gpt-5.2-2025-12-11,sympy__sympy-18698,sympy/sympy,true,5902858,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_028_sympy__sympy-18698,1,1,PASS,5828278,74580,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_028_sympy__sympy-18698/ledger.jsonl
openai:gpt-5.2-2025-12-11,sympy__sympy-21379,sympy/sympy,true,777806,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_012_sympy__sympy-21379,1,1,PASS,766475,11331,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_012_sympy__sympy-21379/ledger.jsonl
openai:gpt-5.2-2025-12-11,sympy__sympy-21612,sympy/sympy,true,2349423,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_029_sympy__sympy-21612,1,1,PASS,2325942,23481,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_029_sympy__sympy-21612/ledger.jsonl
openai:gpt-5.2-pro-2025-12-11,astropy__astropy-14182,astropy/astropy,false,0,exp2_central_router_docker_smoke_20260408T204216Z,swebench_central_router_direct_penalty_001_astropy__astropy-14182,1,1,FAIL,0,0,gpt-5.2-pro,runs/research/phase2/exp2_central_router_docker_smoke_20260408T204216Z/swebench_central_router_direct_penalty_001_astropy__astropy-14182/ledger.jsonl
openai:gpt-5.2-pro-2025-12-11,astropy__astropy-12907,astropy/astropy,false,104257,exp2_central_router_matched_20260408T181820Z,swebench_central_router_direct_penalty_014_astropy__astropy-12907,1,1,FAIL,100516,3741,gpt-5.2-pro,runs/research/phase2/exp2_central_router_matched_20260408T181820Z/swebench_central_router_direct_penalty_014_astropy__astropy-12907/ledger.jsonl
anthropic:claude-opus-4-5-20251101,astropy__astropy-12907,astropy/astropy,false,124057,exp2_central_router_matched_20260408T181820Z,swebench_central_router_direct_penalty_014_astropy__astropy-12907,2,2,INFRA,123725,332,claude-opus-4-5,runs/research/phase2/exp2_central_router_matched_20260408T181820Z/swebench_central_router_direct_penalty_014_astropy__astropy-12907/ledger.jsonl
openai:gpt-5.2-pro-2025-12-11,astropy__astropy-14182,astropy/astropy,false,50085,exp2_central_router_matched_20260408T181820Z,swebench_central_router_direct_penalty_001_astropy__astropy-14182,1,1,FAIL,45416,4669,gpt-5.2-pro,runs/research/phase2/exp2_central_router_matched_20260408T181820Z/swebench_central_router_direct_penalty_001_astropy__astropy-14182/ledger.jsonl
openai:gpt-5.2-2025-12-11,astropy__astropy-14182,astropy/astropy,false,47305,exp2_central_router_matched_20260408T181820Z,swebench_central_router_direct_penalty_001_astropy__astropy-14182,2,2,INFRA,45507,1798,gpt-5.2,runs/research/phase2/exp2_central_router_matched_20260408T181820Z/swebench_central_router_direct_penalty_001_astropy__astropy-14182/ledger.jsonl
